"Name: SkuLevels"
"Date/Time: 2025-06-04 13:45:27"

Location,Part,Part Description,Dealer Net price (UCS16),Assortment Group (SC8),Production ROP,Production Stock Maximum,Optimized ROP,Optimized Stock Maximum ,Fixed ROP (Post-Optimization),Fixed Stock Maximum (Post-Optimization),End Date,Override Reason,Override Status,Comment,Demand 12 months (UCS19),On Hand New,Bin Location (UCS18),Production Status,Total Period Forecast,AssortmentId (UCPM2),Type of Phase Out (SC4),Effective Lead Time
70913,1346571,rivet,4.24,D,-1,0,-1,0,,,,,,,0,0,1L08B06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1346597,support,19.32,D,-1,0,-1,0,,,,,,,0,3,1L05G05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1346598,clamp,12.51,D,-1,0,-1,0,,,,,,,0,10,1L02E05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1346729,screw,28.63,D,-1,0,-1,0,,,,,,,0,19,1K06D04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1346907,driver,35.63,D,-1,0,-1,0,,,,,,,0,0,1L08K04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1347253,pist cool nozzl,545.12,D,-1,0,-1,0,,,,,,,0,1,1H12H01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1347339,gasket,65.74,D,-1,0,-1,0,,,,,,,0,1,1L05G02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1347493,wedge lock,8.04,D,-1,0,-1,0,,,,,,,0,4,1F03F03,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1347494,wedge lock,15.29,D,-1,0,-1,0,,,,,,,0,4,1K03E06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1348758,contact housing,36.52,D,-1,0,-1,0,,,,,,,0,1,1L05C02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1349018,O-ring,117.22,D,-1,0,-1,0,,,,,,,0,5,1L03C01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1349306,washer,232.37,D,-1,0,-1,0,,,,,,,0,0,1G03G02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1349324,ring,599.46,D,-1,0,-1,0,,,,,,,0,0,1H11B02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1349497,gasket,286.87,D,-1,0,-1,0,,,,,,,0,0,1H08D04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1349810,bump stop,131.71,D,-1,0,-1,0,,,,,,,4,2,1K08B05,Auto Approved,0.3667,"=""1000""",Planned,9.00
70913,1350362,protective cap,65.72,D,-1,0,-1,0,,,,,,,0,1,1K04D04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1350838,manifol fitting,197.34,D,-1,0,-1,0,,,,,,,0,2,1B05C01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1351682,screw,269.73,D,-1,0,-1,0,,,,,,,1,1,1F10B03,Auto Approved,0.2000,"=""1000""",Planned,9.00
70913,1351692,gasket,46.30,D,-1,0,-1,0,,,,,,,2,4,1K02E02,Auto Approved,0.1667,"=""1000""",Planned,9.00
70913,1351817,gasket,59.30,D,-1,0,-1,0,,,,,,,0,1,1H07C02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1352801,wear washer,227.57,D,-1,0,-1,0,,,,,,,0,2,1K06H01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1352803,O-ring,15.83,D,6,8,6,8,,,,,,,27,15,1L10K05,Auto Approved,2.1523,"=""1000""",Planned,9.00
70913,1353120,spiral pin,5.73,D,-1,0,-1,0,,,,,,,0,1,1L02C06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1353142,switch,699.63,D,-1,0,-1,0,,,,,,,0,0,1L01D06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1353255,washer,70.92,D,-1,0,-1,0,,,,,,,0,0,1K06L05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1353861,spacing sleeve,417.60,D,-1,0,-1,0,,,,,,,1,1,1K01C01,Auto Approved,0.2000,"=""1000""",Planned,9.00
70913,1354084,gasket,51.74,D,-1,0,-1,0,,,,,,,0,2,1K01K05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1354387,screw,26.65,D,-1,0,-1,0,,,,,,,0,1,1K06B04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1354594,casing,297.19,D,-1,0,-1,0,,,,,,,0,0,1G03C01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1355223,screw,28.57,D,-1,0,-1,0,,,,,,,0,1,1B03D06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1355703,spacer bush,23.77,D,-1,0,-1,0,,,,,,,0,0,1H02B05,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1356134,strip,258.61,D,-1,0,-1,0,,,,,,,0,0,1D12C06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1356372,boot,944.68,D,-1,0,-1,0,,,,,,,0,0,1L06D04,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1356407,magnetic plug,149.24,D,-1,0,-1,0,,,,,,,0,0,NOT BINNED,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1356677,sealing ring,123.89,D,-1,0,-1,0,,,,,,,0,0,1K02H02,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1357380,vib insulator,59.53,D,6,8,6,8,,,,,,,36,8,1L10F02,Auto Approved,2.8974,"=""1000""",Planned,9.00
70913,1357580,contact housing,22.13,D,-1,0,-1,0,,,,,,,0,1,1K06D06,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1357581,cable terminal,7.02,D,-1,0,-1,0,,,,,,,0,12,1F06D01,Auto Approved,0.0000,"=""1000""",Planned,9.00
70913,1357711,bearing,435.30,D,0,1,0,1,,,,,,,3,1,1K08E01,Auto Approved,0.1667,"=""1000""",Planned,9.00
70913,1357976,housing,61.97,D,-1,0,-1,0,,,,,,,0,1,1F01H01,Auto Approved,0.0000,"=""1000""",Planned,9.00
